id,Cylinder26,Cylinder36,Cylinder46,,
124,48.4,57.1,68.2,1.206439059,55.49619671
125,48.5,57,67.3,1.190518309,54.76384221
126,48.5,56.4,67.1,1.186980364,54.60109676
127,48.6,56.1,67.2,1.188749337,54.68246949
128,48.5,55.9,67.5,1.194056253,54.92658765
129,48.5,55.9,68,1.202901114,55.33345126
130,48.3,55.3,68.6,1.213514948,55.8216876
131,48.3,55,68.9,1.218821864,56.06580577
132,48.1,55.1,68.8,1.217052892,55.98443304
133,48.1,55.5,68.5,1.211745976,55.74031488
134,47.9,55.6,68.7,1.21528392,55.90306032
135,48.1,56,68.7,1.21528392,55.90306032
136,48,56.2,68.6,1.213514948,55.8216876
137,48,56.2,68.2,1.206439059,55.49619671
138,47.9,56.1,68,1.202901114,55.33345126
139,47.9,56.3,68.1,1.204670087,55.41482399
140,47.7,56.4,68.1,1.204670087,55.41482399
141,47.8,56.5,68.1,1.204670087,55.41482399
142,48.1,56.4,67.7,1.197594198,55.0893331
143,48.5,56.5,67.8,1.19936317,55.17070582
144,48.6,56.5,68.2,1.206439059,55.49619671
145,48.8,56.7,68.2,1.206439059,55.49619671
146,48.9,56.8,68.2,1.206439059,55.49619671
147,48.9,56.9,68.3,1.208208031,55.57756943
148,48.7,56.9,68.4,1.209977003,55.65894215
149,48.5,57,68.4,1.209977003,55.65894215
150,48.2,56.7,68.5,1.211745976,55.74031488
151,48,56.5,68.5,1.211745976,55.74031488
152,48,56.4,68.4,1.209977003,55.65894215
153,48,56.2,68.3,1.208208031,55.57756943
154,48,56.1,68.4,1.209977003,55.65894215
155,48.1,55.9,68.3,1.208208031,55.57756943
156,48,55.8,68.3,1.208208031,55.57756943
157,47.9,56.2,68.4,1.209977003,55.65894215
158,48.1,56.3,68.4,1.209977003,55.65894215
159,48.2,56.7,68.2,1.206439059,55.49619671
160,48.4,56.8,67.9,1.201132142,55.25207854
161,48.6,56.8,67.7,1.197594198,55.0893331
162,48.8,56.6,67.8,1.19936317,55.17070582
163,48.9,56.1,67.7,1.197594198,55.0893331
164,48.9,55.7,67.6,1.195825226,55.00796038
165,48.8,54.9,67.4,1.192287281,54.84521493
166,48.7,54.2,67.2,1.188749337,54.68246949
167,48.7,54.4,67.4,1.192287281,54.84521493
168,48.5,54.9,68,1.202901114,55.33345126
169,48.3,55.3,68.2,1.206439059,55.49619671
170,48.3,55.5,68,1.202901114,55.33345126
171,48.2,55.7,67.6,1.195825226,55.00796038
172,48.1,55.7,67.6,1.195825226,55.00796038
173,48,55.9,68.1,1.204670087,55.41482399
174,48.1,55.9,68.5,1.211745976,55.74031488
175,48.2,56,68.3,1.208208031,55.57756943
176,48.2,56.2,68.1,1.204670087,55.41482399
177,48.4,56.4,67.9,1.201132142,55.25207854
178,48.6,56.2,67.9,1.201132142,55.25207854
179,48.7,56,67.6,1.195825226,55.00796038
180,48.7,55.4,68,1.202901114,55.33345126
181,48.7,55.7,68.2,1.206439059,55.49619671
182,49,55.8,68.3,1.208208031,55.57756943
183,49,56.4,68.2,1.206439059,55.49619671
184,48.8,56.5,68.1,1.204670087,55.41482399
